work_id	collection_number	working_title	year	venue	pages	source_id	heading_start_line	heading_end_line	source_start_line	source_end_line	bibliography_start_line	bibliography_end_line	numbering_status	authors	authorship_status	coverage_state	initial_lean_lane	canon_qa_state	notes
P22	22	Zur Theorie der Polynomideale und Resultanten.	1923	Math. Ann. 88	53–79	ED0014_R785	12702	12702	12702	13515	24035	24036	EXPLICIT	Kurt Hentzelt†; Emmy Noether (Bearbeitung)	ATTRIBUTION_SENSITIVE	PARTIAL_AUDIT	POLYNOMIAL_IDEALS_AND_RESULTANTS	NONE	Exact-range claim audit completed with Hentzelt as author and Noether as free editor/adaptor. Equation (12)'s generic transform, arbitrary-input coefficient nonvanishing, exact total-degree preservation, ideal-level regular-member theorem, and characteristic-zero descent to an actual finite lower-unitriangular coordinate equivalence, together with equation (17), Satz VI, equations (21)–(23), the finite free quotient, exact bounded ideal image, abstract common-tail quotient, supplied regular-pair package, actual cutoff-one ground-ideal quotient, explicit first ξ/ζ coordinate-module quotient chain, line 13162's exact ground-module saturation theorem with torsion and full-rank consequences, source-faithful localization to K[x₂], the actual finite equation-(24) Smith pair, arbitrary/countable common-tail cancellation, scalar-colon quotient formulas, the conditional reciprocal ground-module formula from Satz II, finite localized Satz-VIII annihilator/coefficient-product bounds and generator divisibilities, an explicit conditional greatest-coefficient Satz-II/VIII bridge, one-stage equation-(33) descent and Noetherian common-multiplier uniformization, a bounded integral numerator/denominator-action bridge for the first Smith coefficient, regular bounded-representative transport upgrading it under regular C ∈ I and an explicit greatest-selected coefficient to a nonzero full lift satisfying the cutoff-one HasEquation33Witness, a conditional integral selected-Smith-coefficient-product numerator package propagating that witness along localized divisibility while retaining both clearing equations and the product-divides-power bound, finite equation-(33) iteration with the terminal-stage identity and conditional E-product half of equation (34), Satz XI, a finite-coordinate Satz-XII substrate, and conditional Satz-VIII radical/zero-set support, are promoted in 557 canonical declarations across the base and thirty-five support modules. Generic Smith/colon/module-quotient/annihilator, greatest-coefficient bridge, finite common-denominator, localized-submodule denominator-clearing, double-finSucc/bounded-full coordinate, witness-multiplication, localized numerator-product, ideal-inclusion, and finite-window iteration helpers—including the selected-coefficient-product numerator cluster—are NEW_PACKAGING; source-instantiated localization, common-tail, scalar-quotient, ground-reciprocity, finite Smith-annihilator, conditional greatest-coefficient bridge, equation-(33) one-stage descent, bounded integral Smith-numerator action, the full conditional cutoff-one equation-(33) witness bridge, and conditional iteration/endpoints are FORMALIZED_GAP. The existence or canonical choice of a greatest selected coefficient and construction of the later-stage HasEquation33Witness family are not yet derived. The integral selected-Smith-coefficient-product numerator is not identified with Hentzelt's primitive R^(2), a resultant, a normalized or canonical form, or a choice-independent object; the intrinsic annihilator generator likewise is not identified with a normalized/canonical historical elementary-divisor form. The free Finsupp tail is not yet identified with an independently constructed historical unbounded ζ module. Canonical divisibility ordering and normalization, auxiliary-choice independence, primitive descent, determinant-norm identification, the historical R^(i)-product/resultant half of equation (34), compatible zeros, and multiplicities remain open.
P23	23	Algebraische und Differentialinvarianten.	1923	J. Ber. d. DMV 32	177–184	ED0014_R785	13534	13534	13534	13654	24037	24038	EXPLICIT	Emmy Noether	SOLE_NOETHER	PARTIAL_AUDIT	ALGEBRAIC_AND_DIFFERENTIAL_INVARIANTS	OPEN_CANON_QA	All 52 distinct claims and definitions are mapped. Hilbert basis constituents are exact, and Satz 5's uniform radical exponent is promoted in abstract and zero-locus forms with a bounded axiom-audited receipt; Reynolds/GL invariant theory, effective bounds, and the differential reduction theorem remain gaps or deferred. Historical finite/finitely-generated and ideal-divisibility semantics are explicit. The title conflict remains open.
P24	24	Eliminationstheorie und allgemeine Idealtheorie.	1923	Math. Ann. 90	229–261	ED0014_R785	13658	13658	13658	14145	24039	24040	EXPLICIT	Emmy Noether	SOLE_NOETHER	PARTIAL_AUDIT	ELIMINATION_AND_IDEAL_THEORY	RESOLVED_CANON_QA	All definitions, Hilfssätze I–VIII, and Sätze I–XVII are mapped. The reused c_i/g_i dummy index and unit-ideal/dimension-minus-one convention are print-faithful; r_a was corrected to r_α in ED0019. Exact modern constituents, packaging targets, and the missing successive elimination norm remain separated.
P25	25	Eliminationstheorie und Idealtheorie.	1924	J. Ber. d. DMV 33	116–120	ED0014_R785	14147	14147	14147	14204	24041	24042	EXPLICIT	Emmy Noether	SOLE_NOETHER	PARTIAL_AUDIT	ELIMINATION_AND_IDEAL_THEORY	RESOLVED_SCOPE_APPARATUS	All 31 mathematical claims and definitions are mapped. The generic-zero relation-ideal theorem is promoted with bounded axiom evidence. Primary witnesses confirm both strict k<n and Galoisscher wording as printed; modern Lean uses a safe bound/nonzero-prime split and splitting fields versus separable Galois extensions. Primary decomposition and the successive norm remain gaps.
P26	26	Abstrakter Aufbau der Idealtheorie im algebraischen Zahlkörper.	1924	J. Ber. d. DMV 33	102	ED0014_R785	14206	14206	14206	14217	24043	24044	EXPLICIT	Emmy Noether	SOLE_NOETHER	PARTIAL_AUDIT	DEDEKIND_IDEAL_THEORY	NONE	Every mathematical claim in the one-page communication is mapped. The exact Dedekind characterization is promoted with a bounded Lean 4.31 module receipt and axiom output; the broader finite-order promise is source-blocked.
P27	27	Hilbertsche Anzahlen in der Idealtheorie.	1925	J. Ber. d. DMV 34	101	ED0014_R785	14219	14219	14219	14226	24045	24046	EXPLICIT	Emmy Noether	SOLE_NOETHER	PARTIAL_AUDIT	LENGTH_AND_HILBERT_FUNCTIONS	RESOLVED_SCOPE_APPARATUS	Every claim in the one-paragraph communication is mapped. Primary-witness review confirms slash notation as the historical ideal-quotient/colon operation; Lean uses colon ideals explicitly. Hilbert-polynomial, length, and Jordan–Hölder infrastructure exists, but definitions and the index-of-reducibility theorem remain gaps.
P28	28	Gruppencharaktere und Idealtheorie.	1925	J. Ber. d. DMV 34	144	ED0014_R785	14228	14228	14228	14241	24047	24048	EXPLICIT	Emmy Noether	SOLE_NOETHER	PARTIAL_AUDIT	REPRESENTATION_AND_IDEAL_THEORY	RESOLVED_SCOPE_APPARATUS	Every claim in the one-page communication is mapped to Maschke, semisimple-module, isotypic, and character infrastructure. Primary-witness review confirms bare Charaktere as printed; modern statements must say irreducible characters under splitting and semisimplicity hypotheses. Exact block/class bijections and the undefined rank remain open.
P29	29	Der Endlichkeitssatz der Invarianten endlicher linearer Gruppen der Charakteristik p.	1926	Nachr. v. d. Ges. d. Wiss. zu Göttingen	28–35	ED0014_R785	14243	14243	14243	14341	24049	24050	EXPLICIT	Emmy Noether	SOLE_NOETHER	PARTIAL_AUDIT	MODULAR_INVARIANTS	NONE	The main fixed-ring finite-generation theorem has a green characteristic-free formalization; explicit resolvent generators, rational bases, and the Pth-root-field criterion remain mapped gaps.
P30	30	Abstrakter Aufbau der Idealtheorie in algebraischen Zahl- und Funktionenkörpern.	1927	Math. Ann. 96	26–61	ED0014_R785	14344	14344	14344	15596	24051	24052	EXPLICIT	Emmy Noether	SOLE_NOETHER	PARTIAL_AUDIT	DEDEKIND_NOETHER_THEORY	NONE	All five axioms and the headline results of §§1–10 are mapped. The source-shaped Axiom-II/dimension-one equivalence is now promoted with a clean bounded build and axiom output; modern factorization, fractional-ideal, finite-length, and Jordan–Hölder coverage is indexed, while full converse packaging remains open.
P31	31	Der Diskriminantensatz für die Ordnungen eines algebraischen Zahl- oder Funktionenkörpers.	1927	J. Reine Angew. Math. 157	82–104	ED0014_R785	15600	15600	15600	16088	24053	24054	EXPLICIT	Emmy Noether	SOLE_NOETHER	PARTIAL_AUDIT	DISCRIMINANTS_AND_RAMIFICATION	RESOLVED_CANON_QA	All five author-labelled results are mapped, and the quotient-discriminant reduction is promoted. Canon review confirms u from the cited setup; ED0019 corrects seven R-bar-a glyphs and nach 1 to nach 2. Reverse étale descent still depends on pinned proof_wanted, and the arbitrary-order theorem remains a gap.
P32	32	Über minimale Zerfällungskörper irreduzibler Darstellungen.	1927	Sitz. Ber. d. Preuß. Akad. d. Wiss.	221–228	ED0014_R785	16092	16092	16092	16257	24055	24056	EXPLICIT	Richard Brauer; Emmy Noether	EXPLICIT_JOINT	NOT_AUDITED	REPRESENTATION_SPLITTING_FIELDS	NONE	
P33	33	Hyperkomplexe Größen und Darstellungstheorie in arithmetischer Auffassung.	1928	Atti Congresso Bologna 2	71–73	ED0014_R785	16261	16261	16261	16308	24057	24058	EXPLICIT	Emmy Noether	SOLE_NOETHER	NOT_AUDITED	NONCOMMUTATIVE_REPRESENTATION	REVIEW_ORTHOGRAPHY	Body heading line 16261 spells “Grössen”; bibliography line 24057 uses “Größen”. Review as an orthographic variant, not yet an asserted defect.
P34	34	Hyperkomplexe Größen und Darstellungstheorie.	1929	Math. Z. 30	641–692	ED0014_R785	16335	16335	16335	18360	24059	24060	EXPLICIT	Emmy Noether; B. L. van der Waerden (Ausarbeitung/Druckbearbeitung)	ATTRIBUTION_SENSITIVE	NOT_AUDITED	NONCOMMUTATIVE_REPRESENTATION	NONE	Footnote at line 16339 credits van der Waerden’s free elaboration and joint preparation for print although the bibliography lists Noether.
P35	35	Über Maximalbereiche aus ganzzahligen Funktionen.	1929	Rec. Soc. Math. Moscou 36	65–72	ED0014_R785	18361	18361	18361	18622	24061	24062	EXPLICIT	Emmy Noether	SOLE_NOETHER	NOT_AUDITED	INTEGRAL_CLOSURE_AND_MAXIMAL_ORDERS	NONE	
P36	36	Idealdifferentiation und Differente.	1930	J. Ber. d. DMV 39	17	ED0014_R785	18625	18625	18625	18636	24063	24064	EXPLICIT	Emmy Noether	SOLE_NOETHER	NOT_AUDITED	DIFFERENTS_AND_DIFFERENTIALS	NONE	Short precursor to posthumous P43.
P37	37	Normalbasis bei Körpern ohne höhere Verzweigung.	1932	J. Reine Angew. Math. 167	147–152	ED0014_R785	18639	18639	18639	18825	24065	24066	EXPLICIT	Emmy Noether	SOLE_NOETHER	NOT_AUDITED	NORMAL_BASES_AND_RAMIFICATION	NONE	
P38	38	Beweis eines Hauptsatzes in der Theorie der Algebren.	1932	J. Reine Angew. Math. 167	399–404	ED0014_R785	18831	18831	18831	19047	24067	24068	EXPLICIT	Richard Brauer; H. Hasse; Emmy Noether	EXPLICIT_JOINT	NOT_AUDITED	CENTRAL_SIMPLE_ALGEBRAS	NONE	
P39	39	Hyperkomplexe Systeme in ihren Beziehungen zur kommutativen Algebra und zur Zahlentheorie.	1932	Verhandl. Intern. Math.-Kongreß Zürich 1	189–194	ED0014_R785	19052	19052	19052	19138	24069	24070	EXPLICIT	Emmy Noether	SOLE_NOETHER	NOT_AUDITED	NONCOMMUTATIVE_NUMBER_THEORY	OPEN_CANON_QA	Body heading line 19052 omits the second “zur” before “Zahlentheorie”; bibliography line 24069 includes it.
P40	40	Nichtkommutative Algebren.	1933	Math. Z. 37	514–541	ED0014_R785	19142	19142	19142	19785	24071	24072	EXPLICIT	Emmy Noether	SOLE_NOETHER	NOT_AUDITED	NONCOMMUTATIVE_ALGEBRA	OPEN_CANON_QA	Section line 19142 and bibliography line 24071 use plural “Algebren”; displayed title line 19149 uses singular “Algebra”.
P41	41	Der Hauptgeschlechtssatz für relativ-galoissche Zahlkörper.	1933	Math. Ann. 108	411–419	ED0014_R785	19790	19790	19790	19941	24073	24074	EXPLICIT	Emmy Noether	SOLE_NOETHER	NOT_AUDITED	CLASS_FIELD_AND_BRAUER_THEORY	NONE	
P42	42	Zerfallende verschränkte Produkte und ihre Maximalordnungen.	1934	Actualités scientifiques et industrielles 148	15 pages	ED0014_R785	19944	19944	19944	20174	24075	24076	EXPLICIT	Emmy Noether	SOLE_NOETHER	NOT_AUDITED	CROSSED_PRODUCTS_AND_ORDERS	REVIEW_PAGINATION	Body line 19947 gives “S. 5–15”; bibliography line 24076 gives “(15 S.)”. Review publication pagination before treating this as a defect.
P43	43	Idealdifferentiation und Differente.	1950	J. Reine Angew. Math. 188	1–21	ED0014_R785	20177	20177	20177	20984	24077	24078	EXPLICIT	Emmy Noether†	POSTHUMOUS_SOURCE	NOT_AUDITED	DIFFERENTS_AND_DIFFERENTIALS	NONE	Posthumous manuscript supplied by H. Grell; footnote line 20184 says the manuscript after §6.3 apparently required further revision.
