id	work_id	work	year	source_locator	source_witness_sha256	mathlib_coverage	mathlib_declarations	local_contribution	local_declaration	build_status	receipt	axioms	qa_effect	limitations
NOETH-1918-HILBERT-CLAIM	P13	Invariante Variationsprobleme	1918	improper-current definition line 9027; iff line 9029; translation specialization line 9049	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	DEFERRED_INFRASTRUCTURE	No conservation-law quotient theorem found	NONE		dependency_graph_recorded			neutral	Requires a formal quotient by trivial currents and Euler–Lagrange terms, plus the qualified group-inclusion converses.
NOETH-1921-SATZ-I	P19	Idealtheorie in Ringbereichen	1921	finite-basis condition line 11346; Satz I line 11350; converse line 11368	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	MATHLIB_MODERN_FORM	isNoetherianRing_iff_ideal_fg	NEW_PACKAGING	MathematicalCommons.Noether.Idealtheorie1921.finiteBasis_iff_noetherian	built_v4.31.0_release_verified	artifacts/release/noether-pilot-0.1.0-dev/Idealtheorie1921-20260824T2247055813561-8e92ac2f.receipt.json	propext; Quot.sound	neutral	The iff is assembled from surrounding text; the labeled Satz I alone states chain stabilization under the finite-basis assumption.
NOETH-1921-SATZ-II	P19	Idealtheorie in Ringbereichen	1921	line 11417	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	MATHLIB_MODERN_FORM	exists_infIrred_decomposition	NEW_PACKAGING	MathematicalCommons.Noether.Idealtheorie1921.finiteIrreducibleDecomposition	built_v4.31.0_release_verified	artifacts/release/noether-pilot-0.1.0-dev/Idealtheorie1921-20260824T2247055813561-8e92ac2f.receipt.json	propext; Classical.choice; Quot.sound	neutral	Mathlib uses the order-theoretic InfIrred notion and finite infimum notation.
NOETH-1921-DEF-III	P19	Idealtheorie in Ringbereichen	1921	line 11561	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	MATHLIB_MODERN_FORM	Ideal.isPrimary_iff	NEW_PACKAGING	MathematicalCommons.Noether.Idealtheorie1921.primary_iff_factor_or_power	built_v4.31.0_release_verified	artifacts/release/noether-pilot-0.1.0-dev/Idealtheorie1921-20260824T2247055813561-8e92ac2f.receipt.json	propext; Classical.choice; Quot.sound	neutral	Mathlib makes properness explicit and represents existence of a power by radical membership.
NOETH-1921-DEF-IIIA	P19	Idealtheorie in Ringbereichen	1921	line 11567	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	NEW_PACKAGING	Ideal.isPrimary_iff; Ideal.exists_pow_le_of_le_radical_of_fg	FORMALIZED_SOURCE_PACKAGING	MathematicalCommons.Noether.Idealtheorie1921.primary_iff_ideal_product_or_power	built_v4.31.0_release_verified	artifacts/release/noether-pilot-0.1.0-dev/Idealtheorie1921-20260824T2247055813561-8e92ac2f.receipt.json	propext; Classical.choice; Quot.sound	neutral	Uniform positive exponent for an ideal uses Noetherian finite generation; modern properness is explicit.
NOETH-1921-SATZ-V-UNIQUE-PRIME	P19	Idealtheorie in Ringbereichen	1921	line 11613; first clause	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	NEW_PACKAGING	Ideal.isPrime_radical; Ideal.exists_radical_pow_le_of_fg	FORMALIZED_SOURCE_PACKAGING	MathematicalCommons.Noether.Idealtheorie1921.existsUnique_associatedPrime	built_v4.31.0_release_verified	artifacts/release/noether-pilot-0.1.0-dev/Idealtheorie1921-20260824T2247055813561-8e92ac2f.receipt.json	propext; Classical.choice; Quot.sound	neutral	Packages separate Mathlib ingredients; ideal divisibility is translated to modern inclusions.
NOETH-1921-SATZ-V-GREATEST	P19	Idealtheorie in Ringbereichen	1921	line 11613; greatest-common-divisor characterization	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	NEW_PACKAGING	Ideal.isPrime_radical; Ideal.IsPrime.le_of_pow_le	FORMALIZED_SOURCE_PACKAGING	MathematicalCommons.Noether.Idealtheorie1921.associatedPrime_isGreatest_powerContained	built_v4.31.0_release_verified	artifacts/release/noether-pilot-0.1.0-dev/Idealtheorie1921-20260824T2247055813561-8e92ac2f.receipt.json	propext; Classical.choice; Quot.sound	neutral	States the historical gcd characterization as the inclusion-universal property of the radical.
NOETH-1921-SATZ-V-EXPONENT	P19	Idealtheorie in Ringbereichen	1921	line 11613; minimal exponent rho	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	NEW_PACKAGING	Ideal.exists_radical_pow_le_of_fg; Nat.find	FORMALIZED_SOURCE_PACKAGING	MathematicalCommons.Noether.Idealtheorie1921.exists_least_associatedPrimeExponent	built_v4.31.0_release_verified	artifacts/release/noether-pilot-0.1.0-dev/Idealtheorie1921-20260824T2247055813561-8e92ac2f.receipt.json	propext; Classical.choice; Quot.sound	neutral	Least positive exponent is packaged explicitly; no claim is made that the power equals Q.
NOETH-1921-SATZ-VI	P19	Idealtheorie in Ringbereichen	1921	line 11617	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	MATHLIB_EXACT	InfIrred.isPrimary	NEW_PACKAGING	MathematicalCommons.Noether.Idealtheorie1921.irreducible_isPrimary	built_v4.31.0_release_verified	artifacts/release/noether-pilot-0.1.0-dev/Idealtheorie1921-20260824T2247055813561-8e92ac2f.receipt.json	propext; Classical.choice; Quot.sound	neutral	Mathlib theorem is at submodule generality; local theorem specializes to ideals.
NOETH-1921-SATZ-VIII-FIRST	P19	Idealtheorie in Ringbereichen	1921	line 11737; first direction	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	MATHLIB_MODERN_FORM	Ideal.isPrimary_finsetInf	NEW_PACKAGING	MathematicalCommons.Noether.Idealtheorie1921.primaryFiniteInf_sameAssociatedPrime	built_v4.31.0_release_verified	artifacts/release/noether-pilot-0.1.0-dev/Idealtheorie1921-20260824T2247055813561-8e92ac2f.receipt.json	propext; Classical.choice; Quot.sound	neutral	Common associated prime is represented by equality of radicals; the converse reduced-decomposition clause remains open.
NOETH-1921-SATZ-VIII-PRIME-IRRED	P19	Idealtheorie in Ringbereichen	1921	line 11771; Zusatz	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	NEW_PACKAGING	Ideal.IsPrime.inf_le; InfPrime.infIrred	FORMALIZED_SOURCE_PACKAGING	MathematicalCommons.Noether.Idealtheorie1921.prime_isIrreducible	built_v4.31.0_release_verified	artifacts/release/noether-pilot-0.1.0-dev/Idealtheorie1921-20260824T2247055813561-8e92ac2f.receipt.json	propext; Classical.choice; Quot.sound	neutral	Direct modern lattice packaging of the source corollary.
NOETH-1921-LASKER-NOETHER	P19	Idealtheorie in Ringbereichen	1921	§§2–5; decomposition culmination through line 11781	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	MATHLIB_MODERN_FORM	Submodule.isLasker	NEW_PACKAGING	MathematicalCommons.Noether.Idealtheorie1921.primaryDecomposition	built_v4.31.0_release_verified	artifacts/release/noether-pilot-0.1.0-dev/Idealtheorie1921-20260824T2247055813561-8e92ac2f.receipt.json	propext; Classical.choice; Quot.sound	neutral	Mathlib states a stronger module-level existence theorem; source minimality and uniqueness conditions are separate targets.
NOETH-1921-FIRST-UNIQUENESS	P19	Idealtheorie in Ringbereichen	1921	Satz IX line 11781 and associated-prime uniqueness	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	MATHLIB_MODERN_FORM	IsMinimalPrimaryDecomposition.image_radical_eq_associated_primes	NONE		mathlib_audited_not_repackaged			neutral	Exact correspondence to Noether's formulation still needs a source-level proof audit.
NOETH-1921-SECOND-UNIQUENESS	P19	Idealtheorie in Ringbereichen	1921	isolated primary components; Satz XIII line 11971	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	MATHLIB_MODERN_FORM	IsMinimalPrimaryDecomposition.comap_localized₀_eq_iInf	NONE		mathlib_audited_not_repackaged			neutral	Mathlib localization theorem captures the modern second uniqueness theorem; detailed source alignment remains open.
NOETH-1922-ABSOLUTE-IRRED-DEF	P20	Ein algebraisches Kriterium für absolute Irreduzibilität	1922	definition line 12405	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	MATHLIB_MODERN_FORM	Irreducible; AlgebraicClosure; IsAlgClosure.equiv; GeometricallyIntegral	NONE		definition_design_open			neutral	Mathlib has the ingredients but no canonical polynomial-level absolute-irreducibility predicate; geometrically irreducible alone omits reducedness.
NOETH-1922-REDUCIBILITY-FORM	P20	Ein algebraisches Kriterium für absolute Irreduzibilität	1922	main theorem lines 12407–12409; construction/conclusion lines 12581–12585	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	GAP_CANDIDATE	MvPolynomial.map; algebraic-closure and Noetherian polynomial infrastructure only	NONE		dependency_graph_recorded			neutral	High-value gap: construct a universal integer-coefficient reducibility form and prove nonvanishing iff absolute irreducibility, respecting homogeneous/nonzero and affine degree-drop caveats.
NOETH-1922-GENERIC-IRREDUCIBLE	P20	Ein algebraisches Kriterium für absolute Irreduzibilität	1922	assertion line 12417; precise polynomial/conclusion lines 12439–12444	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	GAP_CANDIDATE	MvPolynomial.irreducible_of_totalDegree_eq_one covers only degree one	NONE		dependency_graph_recorded			neutral	Generic polynomial with algebraically independent universal coefficients in at least two variables is not available at the required all-degree generality.
NOETH-1922-FIXED-BIDEGREE	P20	Ein algebraisches Kriterium für absolute Irreduzibilität	1922	criterion lines 12541–12573; exact parameterization lines 12575–12579	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	GAP_CANDIDATE	RingHom.ker_isPrime; polynomial Noetherianity; norm and symmetric-polynomial infrastructure	NONE		dependency_graph_recorded			neutral	Requires the coefficient-convolution map, relation ideal, elimination/finite basis, prescribed factor degrees, and explicit exclusion of affine degree drop.
NOETH-1922-OSTROWSKI	P20	Ein algebraisches Kriterium für absolute Irreduzibilität	1922	corollary lines 12411–12413; proof lines 12587–12600	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	GAP_CANDIDATE	Dedekind-domain ideals; finite residue fields; finite divisors; no specialization theorem	NONE		dependency_graph_recorded			neutral	High-value gap: absolute irreducibility after reduction outside finitely many prime ideals; rational coefficients also require denominator clearing and excluding denominator primes.
NOETH-1922-FINITE-BAD-PRIMES-COMPONENT	P20	Ein algebraisches Kriterium für absolute Irreduzibilität	1922	finite prime-divisor step lines 12594–12598	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	NEW_PACKAGING	UniqueFactorizationMonoid.fintypeSubtypeDvd; Dedekind ideal UFM instance	SUPPORT_PACKAGING	MathematicalCommons.Noether.AbsoluteIrreducibility1922.finite_primeIdeal_divisors	built_v4.31.0	artifacts/build/AbsoluteIrreducibility1922-20260824T2316146598162-416d9426.receipt.json	propext; Classical.choice; Quot.sound	neutral	Thin arithmetic-tail helper only; it neither constructs the reducibility form nor proves the Ostrowski corollary.
NOETH-1926-FIXED-RING-FINITE-TYPE	P29	Der Endlichkeitssatz der Invarianten endlicher linearer Gruppen der Charakteristik p	1926	main theorem line 14257; proof lines 14319–14335	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	FORMALIZED_GAP	Algebra.IsInvariant.isIntegral; Algebra.FiniteType.of_restrictScalars_finiteType; Algebra.IsIntegral.finite; fg_of_fg_of_fg	FORMALIZED_GAP	MathematicalCommons.Noether.ModularInvariants1926.fixedPoints_finiteType	built_v4.31.0	artifacts/build/ModularInvariants1926-20260824T2315501664582-da8e5c67.receipt.json	propext; Classical.choice; Quot.sound	neutral	Characteristic-free modern form for finite actions on finite-type commutative algebras over a Noetherian base; no linearity or faithfulness is required. This is finite generation as an algebra, not finite cardinality.
NOETH-1926-INTERMEDIATE-SUBALGEBRA	P29	Der Endlichkeitssatz der Invarianten endlicher linearer Gruppen der Charakteristik p	1926	general support for conclusions at lines 14263 and 14337–14339	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	NEW_PACKAGING	Algebra.IsInvariant.isIntegral; Algebra.IsIntegral.finite; fg_of_fg_of_fg	SUPPORT_GENERALIZATION	MathematicalCommons.Noether.ModularInvariants1926.subalgebra_finiteType_of_fixedPoints_le	built_v4.31.0	artifacts/build/ModularInvariants1926-20260824T2315501664582-da8e5c67.receipt.json	propext; Classical.choice; Quot.sound	neutral	Applies to relative- or pointwise-invariant rings only after those source-specific subalgebras are defined and proved to contain the fixed subalgebra; it does not supply those models.
NOETH-1926-RATIONAL-BASIS	P29	Der Endlichkeitssatz der Invarianten endlicher linearer Gruppen der Charakteristik p	1926	finite rational-basis claims lines 14269–14281	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	GAP_CANDIDATE	IntermediateField.FG; Algebra.EssFiniteType; Algebra.finite_of_essFiniteType_of_isAlgebraic	NONE		dependency_graph_recorded			neutral	Mathlib encodes finite generation and essential finite type, but no exact arbitrary-intermediate-field theorem in Noether's stated generality was found.
NOETH-1926-EXPLICIT-RESOLVENT-GENERATORS	P29	Der Endlichkeitssatz der Invarianten endlicher linearer Gruppen der Charakteristik p	1926	orbit identities and resolvent coefficients lines 14312–14326	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	GAP_CANDIDATE	MulSemiringAction.charpoly; MvPolynomial.esymmAlgEquiv supplies only ordinary symmetric-polynomial infrastructure	NONE		dependency_graph_recorded			neutral	The universal auxiliary-variable resolvent, multisymmetric orbit-row argument, and proof that its coefficients generate Noether's finite subring remain unformalized.
NOETH-1926-PTH-ROOT-CRITERION	P29	Der Endlichkeitssatz der Invarianten endlicher linearer Gruppen der Charakteristik p	1926	positive-characteristic finiteness criterion lines 14285–14299 and coefficient-field reduction line 14328	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	GAP_CANDIDATE	AdjoinPthRoots; IsIntegralClosure.finite covers the separable finite case	NONE		dependency_graph_recorded			neutral	The finite P^(1/p)/P hypothesis, inseparable integral-closure finiteness, and transcendental coefficient-field reduction are not packaged as the source theorem.
NOETH-SCHM-1920-DICTIONARY	P17	Moduln in nichtkommutativen Bereichen, insbesondere aus Differential- und Differenzenausdrücken	1920	definitions and order dictionary lines 10238–10327; prime and fully reducible lines 10584–10588	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	MATHLIB_MODERN_FORM	Submodule; Submodule.Quotient; LinearEquiv; IsSimpleModule; IsSemisimpleModule	NONE		source_dictionary_audited			neutral	Source right-sided modules are Mathlib left submodules; gcd and lcm reverse to sup and inf; Primmodul means maximal submodule/simple quotient, not prime ideal. Joint Noether–Schmeidler attribution is mandatory.
NOETH-SCHM-1920-SATZ-I	P17	Moduln in nichtkommutativen Bereichen, insbesondere aus Differential- und Differenzenausdrücken	1920	Satz I line 10329	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	NEW_PACKAGING	Submodule.ker_mkQ; LinearMap.ker_prod; LinearMap.range_prod_eq; LinearMap.quotKerEquivOfSurjective; Submodule.quotEquivOfEq	PROMOTED_SUPPORT	MathematicalCommons.NoetherSchmeidler.NoncommutativeModules1920.quotientInfEquivProdOfSupEqTop	built_v4.31.0	artifacts/build/NoncommutativeModules1920-20260825T0138493146531-a76d0ce8.receipt.json	propext; Classical.choice; Quot.sound	neutral	Promoted declaration covers only the forward quotient-product equivalence for arbitrary left modules; the full source iff, custom subgroup correspondence, and factor identifications remain open.
NOETH-SCHM-1920-SATZ-II	P17	Moduln in nichtkommutativen Bereichen, insbesondere aus Differential- und Differenzenausdrücken	1920	Satz II line 10451; total-coprime definition line 10441	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	MATHLIB_MODERN_FORM	Ideal.quotientInfRingEquivPiQuotient is exact for commutative ideals; generic submodule product/quotient infrastructure is partial	NONE		audit_complete_development_open			neutral	The noncommutative finite-family one-sided statement and reverse decomposition direction require source-specific packaging.
NOETH-SCHM-1920-SATZ-III	P17	Moduln in nichtkommutativen Bereichen, insbesondere aus Differential- und Differenzenausdrücken	1920	ring hypotheses lines 10214–10232 and 10457–10462; Satz III line 10502	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	GAP_CANDIDATE	IsNoetherian; isNoetherian_def; Submodule.FG	NONE		dependency_graph_recorded			neutral	High-value gap: prove left-Noetherianity of the stated triangular skew polynomial/operator ring. Assuming IsNoetherian alone is only the modern abstraction, not the historical theorem.
NOETH-SCHM-1920-SATZ-III-ZUSATZ	P17	Moduln in nichtkommutativen Bereichen, insbesondere aus Differential- und Differenzenausdrücken	1920	Zusatz lines 10506–10507	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	MATHLIB_MODERN_FORM	IsNoetherian quotient instances; Submodule.FG	NONE		audit_complete_development_open			neutral	Finite bases for families of quotient classes follow abstractly once the source ring's missing Noetherianity theorem is supplied.
