qa_id	work_id	source_locator	issue_type	controlled_reading	comparison_or_candidate	evidence	confidence	status	canon_owner_thread	reported_date	formalization_effect
NOETH-QA-025	P42	body line 19947; bibliography line 24076	PAGINATION_REVIEW	S. 5–15	(15 S.)	The body gives a page range while the bibliography gives a page count; publication pagination must be checked before asserting an error.	medium-low	REVIEW_PAGINATION	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-25	No formalization effect; keep the discrepancy machine-readable.
NOETH-QA-026	P24	line 14039; compare line 14023	COMPONENT_INDEX_REVIEW	frakr_a	frakr_α	Primary-witness and family-index review accepted r_α in ED0019, inherited by ED0020.	primary-witness verified	RESOLVED_CORRECTED_IN_ED0019	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-25	Use the corrected alpha index after a canon rebase; current ED0014-linked records keep their immutable locator/hash.
NOETH-QA-027	P24	line 13871	SUMMATION_INDEX_REVIEW	Σ c_i(t) g_i(…)	printed dummy index i is retained	Primary-witness review confirms the reused dummy index; it is historical overloading, not a transcription defect.	primary-witness verified	RESOLVED_KEEP_PRINT_FAITHFUL	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-25	Avoid depending on the literal dummy name in Lean and preserve it in quotations.
NOETH-QA-028	P18	line 11240	GRAMMAR_REVIEW	x_{i+1},…,x_n … adjungiert ist	primary print has singular ist	The official print visibly uses the grammatical anomaly; the later paper's plural sind does not make P18 a transcription error.	primary-witness verified	RESOLVED_KEEP_PRINT_FAITHFUL	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-25	No theorem effect; preserve the singular in diplomatic quotation and note the anomaly.
NOETH-QA-029	P18	lines 11232–11238	RESULTANT_LAYOUT_SEMANTICS	one product R_M=R^(1)…R^(n) with ellipses	staged triangular resultant semantics confirmed by the later Hentzelt–Noether paper	Primary-witness review confirms the layout, and P22 supplies the stage resultants and stagewise-zero semantics; it is not one arbitrary hypersurface equation.	primary and later-paper semantics verified	RESOLVED_STAGED_SEMANTICS	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-25	Use P22 to define the triangular stages before stating Hentzelt's resultant theorem; do not flatten them to an ordinary product zero locus.
NOETH-QA-030	P25	line 14187	STATEMENT_SCOPE	Transzendenzgrad k (0≤k<n)	print faithful; modern theorem must choose k≤n or add p≠(0)	The primary print includes every proper prime, hence the zero ideal with quotient-field transcendence degree n; the two repairs have different scope, so neither is inserted into German.	primary-witness verified	RESOLVED_KEEP_WITH_APPARATUS	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-25	Lean statements must weaken the bound or explicitly exclude the zero ideal; retain the printed strict inequality in quotation.
NOETH-QA-031	P25	lines 14172 and 14189	HISTORICAL_TERMINOLOGY	Galoisscher Körper over arbitrary P	print-faithful splitting/normal-field terminology; modern IsGalois needs separability	Primary-witness review confirms the wording. The construction is modeled generally by a splitting field and upgraded to IsGalois only under separability.	primary-witness verified	RESOLVED_KEEP_WITH_APPARATUS	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-25	Preserve the historical wording and keep the modern hypothesis split explicit.
NOETH-QA-032	P21	lines 12622, 12627, and 12635	FORMULA_NOTATION_REVIEW	ED0014 has f'(dx) and δf'; primary print has f(dx) and δf	ED0020 removes both spurious prime marks	Official print page 68 confirms no prime on f at lines 12622 or 12635; only x is primed in f(x'), restoring the coherent Hessian/variation chain.	primary-witness verified	RESOLVED_CORRECTED_IN_ED0020_INACTIVE	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-25	Formal design may use f consistently; keep existing theorem provenance on ED0014 until explicit rebase, and do not present inactive ED0020 as active canon.
NOETH-QA-033	P21	lines 12644–12655	UNDEFINED_OPERATOR_REVIEW	replace d by d+λδ, then equations (141) use D	capital D is genuinely printed and denotes an implicit independent outer formal differential direction	Primary-witness review confirms every D; it is separate from d and δ so that δ can remain the second polarized argument.	primary-witness verified	RESOLVED_KEEP_WITH_APPARATUS	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-25	A faithful jet model must type d, δ, and D separately; preserve the German formula.
NOETH-QA-034	P22	line 13319, footnote 15	SYMBOL_DISTINCTION_REVIEW	G₁∣M₁ is said to be not isomorphic to the identically written G₁∣M₁	one occurrence may require stars or another general-versus-specialized distinction	The two displayed residue systems are identical in the controlled ED0014 text although the sentence says “aber nicht isomorph”; the surrounding footnote contrasts the general and specialized elementary-divisor systems. This is mathematically anomalous, but no particular correction is justified without the primary page.	high anomaly; low correction confidence	OPEN_CANON_QA	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-28	Do not use this sentence to identify the two residue systems. No German, translation, or Lean source is changed pending canon-owner adjudication.
